epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32
0,0,0.98974,0.3337,2.91347,0,2.98304,0.98989,0.3378,126,252,378,512,629,764,890,1007,1133,1259,1393,1519,1645,1762,1896,2022,2140,2274,2400,2526,2643,2769,2903,3021,3155,3273,3399,3533,3659,3776,3910,4036
10,0.19192,1.11254,0.3751,2.59189,0.18603,2.66401,1.10843,0.37825,112,269,400,487,589,797,885,967,1124,1229,1397,1538,1645,1728,1904,2016,2132,2275,2364,2566,2641,2748,2927,3004,3183,3253,3425,3499,3668,3773,3925,4065
20,0.31662,1.20978,0.40789,2.38355,0.30398,2.46344,1.19868,0.40905,150,301,408,448,547,795,841,923,1099,1196,1388,1554,1622,1709,1901,1984,2129,2272,2328,2610,2664,2709,2937,3028,3202,3289,3462,3471,3699,3769,3925,4098
30,0.40211,1.29339,0.43608,2.22947,0.38635,2.31309,1.27659,0.43564,194,339,391,406,505,761,792,876,1072,1165,1381,1561,1608,1700,1903,1940,2140,2274,2316,2659,2653,2678,2925,3068,3211,3337,3472,3460,3742,3767,3923,4140
40,0.47741,1.38344,0.46644,2.08435,0.45932,2.1712,1.36002,0.4641,236,348,353,364,457,715,741,829,1046,1138,1378,1564,1619,1694,1912,1914,2160,2279,2324,2666,2660,2644,2907,3087,3225,3382,3460,3468,3773,3775,3919,4173
50,0.53368,1.46453,0.49378,1.96894,0.51361,2.05932,1.43391,0.48932,246,330,326,336,405,666,690,788,1026,1124,1377,1564,1629,1693,1920,1897,2175,2281,2336,2649,2660,2657,2895,3087,3251,3418,3467,3475,3795,3788,3911,4186
60,0.5754,1.53478,0.51747,1.87881,0.55586,1.96785,1.50055,0.51206,223,308,305,327,362,616,640,753,1013,1126,1376,1559,1632,1693,1924,1864,2183,2272,2348,2650,2661,2666,2888,3081,3288,3443,3466,3471,3818,3813,3905,4188
70,0.60072,1.58271,0.53362,1.82193,0.58598,1.89996,1.55418,0.53036,189,287,275,336,342,570,594,727,1004,1132,1375,1547,1636,1688,1920,1812,2178,2247,2356,2657,2666,2663,2887,3075,3325,3461,3463,3468,3814,3832,3904,4183
80,0.62367,1.63026,0.54966,1.76878,0.61328,1.83624,1.6081,0.54876,147,270,239,358,348,531,555,709,997,1120,1370,1523,1641,1670,1898,1746,2139,2210,2361,2664,2668,2659,2895,3071,3351,3467,3464,3469,3806,3822,3906,4175
90,0.64486,1.67818,0.56581,1.71827,0.63861,1.7751,1.6635,0.56767,134,254,196,378,370,501,525,701,983,1075,1358,1483,1633,1627,1867,1666,2068,2170,2367,2669,2664,2651,2920,3068,3371,3464,3467,3809,3829,3909,4168
